55,1541.48,18.0,3.0,3.0,6.0,88.0,6853.0,272036.0
57,2484.7,21.0,2.0,3.0,8.0,87.0,10908.0,282536.0
37,996.348,13.0,2.0,3.0,5.0,80.0,443.0,179819.0
45,1711.03,16.0,2.0,3.0,6.0,76.0,3522.0,203001.0
44,1462.13,16.0,2.0,3.0,5.0,83.0,2602.0,235471.0
62,2254.73,20.0,3.0,2.0,11.0,93.0,5898.0,300113.0
176,85497.2,54.0,3.0,2.0,20.0,138.0,928512.0,1285163.0
040,605.997,11.0,3.0,2.0,4.0,126.0,991.0,188027.0
110,28218.7,35.0,3.0,3.0,17.0,57.0,41749.0,616673.0
31,988.965,11.0,2.0,3.0,4.0,81.0,963.0,163208.0
051,855.822,16.0,3.0,3.0,5.0,70.0,1073.0,255840.0
36,1204.38,11.0,3.0,3.0,4.0,89.0,1473.0,177219.0
61,1457.2,19.0,3.0,3.0,8.0,85.0,3021.0,295939.0
50,1315.1,18.0,2.0,3.0,8.0,89.0,1887.0,256662.0
151,2422.13,44.0,3.0,3.0,16.0,190.0,133956.0,1024250.0
68,2327.75,21.0,3.0,3.0,7.0,83.0,11663.0,339401.0
33,909.546,11.0,3.0,3.0,3.0,78.0,329.0,167217.0
65,1860.39,20.0,3.0,3.0,9.0,86.0,6896.0,316214.0
120,50021.0,34.0,3.0,2.0,11.0,20.0,173954.0,692538.0
143,64163.8,40.0,3.0,3.0,12.0,1094.0,332847.0,907970.0
020,294.933,7.0,2.0,3.0,1.0,145.0,68.0,139328.0
076,1205.88,22.0,3.0,3.0,8.0,330.0,4664.0,374003.0
38,1335.1,13.0,2.0,2.0,2.0,98.0,552.0,184649.0
45,1306.85,13.0,3.0,3.0,2.0,88.0,694.0,202993.0
