189.0,32
199.0,33
220.0,33
247.0,34
284.0,36
379.0,37
420.0,37
366.0,38
515.0,39
448.0,39
643.0,44
658.0,45
907.0,45
776.0,46
1149.0,48
1538.0,53
1768.0,54
1463.0,55
2596.0,60
1950.0,61
3544.0,62
3034.0,63
2968.0,63
3815.0,64
2648.0,65
2645.0,69
7567.0,80
207.0,31
295.0,34
355.0,35
413.0,38
456.0,39
538.0,41
641.0,43
863.0,44
590.0,45
649.0,45
646.0,50
1847.0,50
798.0,51
1463.0,52
1883.0,56
2603.0,57
2042.0,57
3335.0,63
2007.0,64
4185.0,66
3655.0,67
4604.0,68
8846.0,78
9.0,10
27.0,016
37.0,019
41.0,020
48.0,021
60.0,022
88.0,022
91.0,023
271.0,040
406.0,045
622.0,050
749.0,050
791.0,050
800.0,051
899.0,055
955.0,055
1090.0,055
1286.0,055
1527.0,060
1520.0,060
1684.0,065
2298.0,070
3074.0,076
3067.0,076
9580.0,101
