164325 ,32
169083 ,33
169088 ,33
174161 ,34
179374 ,36
182074 ,37
182078 ,37
184848 ,38
187670 ,39
187675 ,39
202798 ,44
206012 ,45
206020 ,45
209299 ,46
248822 ,48
266817 ,53
270611 ,54
276015 ,55
296245 ,60
300498 ,61
304780 ,62
309169 ,63
309177 ,63
313585 ,64
321157 ,65
344904 ,69
401409 ,80
164883 ,31
176318 ,34
178905 ,35
187012 ,38
189850 ,39
196046 ,41
202138 ,43
238398 ,44
240942 ,45
241291 ,45
258625 ,50
258966 ,50
262240 ,51
267436 ,52
282735 ,56
286711 ,57
286859 ,57
313962 ,63
318086 ,64
335328 ,66
340287 ,67
344632 ,68
395354 ,78
127400 ,10
131843 ,016
138336 ,019
139951 ,020
141627 ,021
143376 ,022
144226 ,022
145947 ,023
190582 ,040
206023 ,045
255853 ,050
255849 ,050
257389 ,050
259439 ,051
274494 ,055
274494 ,055
276030 ,055
276029 ,055
296276 ,060
296272 ,060
321191 ,065
349761 ,070
379998 ,076
379998 ,076
563472 ,101
