S,601.882,4.0,2.0,2.0,75.0,9.0
G,451.335,8.0,1.875,3.0,34.0,337275.0
S,401.661,8.0,2.0,4.0,4.0,26.0
G,225.274,2.0,9.0,0.0,10.0,379949.0
S,309.874,5.0,3.0,0.0,149.0,45.0
G,231.991,2.0,9.5,0.0,10.0,401345.0
S,315.095,5.0,4.0,0.0,149.0,42.0
G,216.757,2.0,10.0,0.0,22.0,402764.0
S,331.498,5.0,4.0,1.0,138.0,48.0
G,237.497,2.0,10.5,0.0,12.0,433052.0
S,358.925,6.0,3.0,1.0,149.0,60.0
G,588.794,9.0,2.33333,2.0,4500.0,394482.0
S,584.487,9.0,2.0,5.0,500.0,70.0
G,531.174,8.0,2.75,3.0,7.0,388716.0
S,590.532,9.0,2.0,7.0,13.0,91.0
G,601.027,5.0,7.8,0.0,82.0,608552.0
S,620.369,9.0,4.0,4.0,110.0,267.0
G,654.998,5.0,8.8,0.0,58.0,659485.0
S,782.833,11.0,4.0,3.0,123.0,411.0
G,700.815,7.0,7.0,0.0,99.0,679236.0
S,798.132,14.0,3.0,7.0,139.0,619.0
G,798.663,9.0,5.44444,0.0,129.0,670902.0
S,905.303,16.0,3.0,10.0,88.0,746.0
G,921.393,11.0,4.45455,0.0,149.0,694357.0
S,940.713,17.0,2.0,9.0,81.0,780.0
G,855.892,11.0,4.54545,1.0,103.0,675972.0
S,946.692,15.0,3.0,4.0,70.0,800.0
G,847.285,7.0,7.71429,0.0,148.0,753234.0
S,883.31,15.0,3.0,7.0,140.0,924.0
G,744.762,7.0,7.71429,0.0,78.0,755242.0
S,883.31,15.0,3.0,7.0,130.0,883.0
G,919.465,11.0,4.90909,1.0,223.0,708830.0
S,945.776,17.0,3.0,9.0,90.0,1072.0
G,1197.38,17.0,3.17647,4.0,148.0,733951.0
S,1088.27,20.0,2.0,11.0,45.0,1245.0
G,1031.56,10.0,5.9,0.0,66.0,784279.0
S,1053.17,19.0,3.0,9.0,109.0,1724.0
G,1237.87,16.0,3.6875,1.0,146.0,757040.0
S,1177.58,20.0,3.0,9.0,47.0,1508.0
G,1121.85,10.0,6.4,0.0,81.0,836201.0
S,1092.03,18.0,3.0,6.0,103.0,1701.0
G,1330.41,11.0,6.27273,1.0,172.0,912491.0
S,1156.47,19.0,3.0,7.0,98.0,2209.0
G,1099.83,4.0,18.75,0.0,36.0,1057301.0
S,1245.28,20.0,3.0,8.0,294.0,3076.0
G,1103.36,5.0,15.0,0.0,36.0,1029961.0
S,1245.28,20.0,3.0,8.0,224.0,3122.0
G,1519.59,4.0,25.0,0.0,142.0,1287705.0
S,1801.13,30.0,3.0,10.0,383.0,9917.0
